Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00037294,-1.0061E-16,0.0016162,0,0,0,5.2315,0.055139,1.6596E-17,-1.3762E-19,0.086484,4.8736E-18,0.13834,0,0,0,0,0,0,package://zdp_bot/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://zdp_bot/meshes/base_link.STL,,body-1;right_wheel-1;left_wheel-2,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Laser_Link,0,0,0,0,0,0,0.075398,3.0159E-05,-8.0733E-22,8.4703E-22,3.0159E-05,-1.2705E-21,1.508E-05,0,0,0,0,0,0,package://zdp_bot/meshes/Laser_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://zdp_bot/meshes/Laser_Link.STL,,sick_laser-1,坐标系2,Axis_laser,laser,fixed,0.211331577755572,-0.00381190016736267,0.04,0,0,0,base_link,0,0,0,,,,,,,,,,,,
